Unit,Unit Title,Chinese,Pinyin,English Meaning
6,Talk about places you visit,去,qù,to go
6,Talk about places you visit,买,mǎi,to buy
6,Talk about places you visit,看,kàn,to look; read; watch
6,Talk about places you visit,常常,chángcháng,often
6,Talk about places you visit,不常,bù cháng,not often
6,Talk about places you visit,韩文,Hánwén,Korean language/writing
7,Order drinks,一,yī,one
7,Order drinks,两,liǎng,"two, before measure words"
7,Order drinks,三,sān,three
7,Order drinks,杯,bēi,cup; measure word for cups
7,Order drinks,要,yào,to want; would like
7,Order drinks,奶茶,nǎichá,milk tea
7,Order drinks,牛奶,niúnǎi,milk
7,Order drinks,糖,táng,sugar
7,Order drinks,冰,bīng,ice; iced
7,Order drinks,绿茶,lǜchá,green tea
7,Order drinks,谢谢,xièxie,thank you
7,Order drinks,不客气,bú kèqi,you're welcome
7,Order drinks,不,bù,not; no
7,Order drinks,这,zhè,this
8,Locate travel essentials,手机,shǒujī,mobile phone
8,Locate travel essentials,钱包,qiánbāo,wallet
8,Locate travel essentials,洗手间,xǐshǒujiān,restroom / bathroom
8,Locate travel essentials,这里,zhèlǐ,here
8,Locate travel essentials,哪里,nǎlǐ,where
8,Locate travel essentials,在,zài,to be at/in; at
8,Locate travel essentials,在这里,zài zhèlǐ,be here / is here
8,Locate travel essentials,在那里,zài nàlǐ,be there / is there
8,Locate travel essentials,火车,huǒchē,train
8,Locate travel essentials,火车站,huǒchēzhàn,train station
8,Locate travel essentials,车票,chēpiào,ticket
8,Locate travel essentials,站台,zhàntái,platform
8,Locate travel essentials,行李,xíngli,luggage
8,Locate travel essentials,哎呀,āiyā,oh! / oh no!
8,Locate travel essentials,二,èr,two
8,Locate travel essentials,第一,dì-yī,first / number one
9,Introduce yourself and your classes,一个,yí ge,one; one item/person
9,Introduce yourself and your classes,同学,tóngxué,classmate
9,Introduce yourself and your classes,新,xīn,new
9,Introduce yourself and your classes,有,yǒu,to have; there is/are
9,Introduce yourself and your classes,叫,jiào,to be called; be named
9,Introduce yourself and your classes,你好,nǐ hǎo,hello
9,Introduce yourself and your classes,节,jié,measure word for class periods
9,Introduce yourself and your classes,四,sì,four
9,Introduce yourself and your classes,今天,jīntiān,today
9,Introduce yourself and your classes,历史,lìshǐ,history
9,Introduce yourself and your classes,真的吗,zhēn de ma,really? / is that true?
9,Introduce yourself and your classes,和,hé,and
9,Introduce yourself and your classes,都,dōu,all; both
9,Introduce yourself and your classes,A和B都…,A hé B dōu…,both A and B…
9,Introduce yourself and your classes,我们,wǒmen,we; us
9,Introduce yourself and your classes,们,men,plural suffix for people/pronouns
10,Discuss sports preferences,篮球,lánqiú,basketball
10,Discuss sports preferences,排球,páiqiú,volleyball
10,Discuss sports preferences,网球,wǎngqiú,tennis
10,Discuss sports preferences,游泳,yóuyǒng,swimming; to swim
10,Discuss sports preferences,跑步,pǎobù,running; to run/jog
10,Discuss sports preferences,健身房,jiànshēnfáng,gym
10,Discuss sports preferences,公园,gōngyuán,park
10,Discuss sports preferences,运动,yùndòng,sport; exercise
10,Discuss sports preferences,打,dǎ,"to play, for ball sports; hit"
10,Discuss sports preferences,非常,fēicháng,very; extremely
10,Discuss sports preferences,比较,bǐjiào,comparatively; rather
10,Discuss sports preferences,还是,háishi,"or, in an alternative question"
10,Discuss sports preferences,你们,nǐmen,"you, plural"
